# 2D free energy surface in kcal/mol from histogramming
     bin      P_Olg     P_Onuc        N          f         df
     261      2.897      3.366     4193     45.437      0.078
     262      2.897      3.460     3013     45.026      0.081
     263      2.897      3.555     1592     44.614      0.086
     264      2.897      3.650      297     44.549      0.141
     265      2.897      3.745       22     43.856      0.306
     266      3.029      1.565     3647     16.560      0.090
     267      3.029      1.659    12916     16.067      0.085
     268      3.029      1.754     8197     18.372      0.089
     269      3.029      1.849     2380     23.220      0.103
     270      3.029      1.944      376     29.688      0.158
     271      3.029      2.039      642     35.935      0.153
     272      3.029      2.133     3974     40.855      0.102
     273      3.029      2.228    11768     45.096      0.078
     274      3.029      2.323     6675     47.634      0.076
     275      3.029      2.418     3247     48.612      0.076
     276      3.029      2.513     3288     48.886      0.076
     277      3.029      2.607     4511     48.701      0.076
     278      3.029      2.702     6927     48.228      0.074
     279      3.029      2.797     8660     48.501      0.074
     280      3.029      2.892     6151     48.257      0.076
     281      3.029      2.986     5951     47.345      0.076
     282      3.029      3.081    10878     46.285      0.076
     283      3.029      3.176    14323     45.384      0.076
     284      3.029      3.271    10718     44.727      0.077
     285      3.029      3.366    11115     44.235      0.077
     286      3.029      3.460     7990     43.771      0.078
     287      3.029      3.555     2585     43.511      0.083
     288      3.029      3.650      350     43.267      0.217
     289      3.029      3.745       11     42.847      0.368
     290      3.160      1.565      365     13.899      0.121
     291      3.160      1.659     1239     13.647      0.109
     292      3.160      1.754      910     16.206      0.161
     293      3.160      1.849      333     21.331      0.247
     294      3.160      1.944       86     28.389      0.408
     295      3.160      2.039      208     34.066      0.465
     296      3.160      2.133     1221     39.723      0.248
     297      3.160      2.228     3748     43.867      0.098
     298      3.160      2.323     4927     46.698      0.081
     299      3.160      2.418     4868     47.796      0.076
     300      3.160      2.513     8310     48.138      0.074
     301      3.160      2.607     8701     47.711      0.078
     302      3.160      2.702     7763     47.211      0.077
     303      3.160      2.797     8806     47.315      0.079
     304      3.160      2.892     3025     46.817      0.095
     305      3.160      2.986     1644     45.764      0.099
     306      3.160      3.081     2179     44.972      0.091
     307      3.160      3.176     2081     44.055      0.096
     308      3.160      3.271     1643     43.528      0.097
     309      3.160      3.366     2454     43.129      0.091
     310      3.160      3.460     1930     42.840      0.091
     311      3.160      3.555      574     42.586      0.146
     312      3.160      3.650       55     42.678      0.260
     313      3.160      3.745        5        nan        nan
     314      3.292      1.565     1081     11.512      0.083
     315      3.292      1.659     2121     11.494      0.081
     316      3.292      1.754      854     14.535      0.104
     317      3.292      1.849      469     19.716      0.159
     318      3.292      1.944      253     25.810      0.174
     319      3.292      2.039      141     32.590      0.293
     320      3.292      2.133      340     38.218      0.187
     321      3.292      2.228     1325     43.124      0.115
     322      3.292      2.323     2525     45.903      0.080
     323      3.292      2.418     2946     47.238      0.075
     324      3.292      2.513     4083     47.349      0.075
     325      3.292      2.607     2048     46.359      0.085
     326      3.292      2.702     2650     45.450      0.076
     327      3.292      2.797     4647     45.082      0.073
     328      3.292      2.892     4031     44.271      0.075
     329      3.292      2.986     1700     43.600      0.079
     330      3.292      3.081      744     43.354      0.088
     331      3.292      3.176      612     42.653      0.093
     332      3.292      3.271      344     41.850      0.115
     333      3.292      3.366      439     40.936      0.097
     334      3.292      3.460      573     40.504      0.093
     335      3.292      3.555      243     39.968      0.117
     336      3.292      3.650       33     39.727      0.353
     337      3.292      3.745        7     40.389      0.601
     338      3.423      1.565     2425      9.790      0.080
     339      3.423      1.659     6123      9.816      0.079
     340      3.423      1.754     4702     12.730      0.086
     341      3.423      1.849     2820     17.939      0.098
     342      3.423      1.944     1402     24.294      0.130
     343      3.423      2.039      806     30.875      0.125
     344      3.423      2.133      819     36.963      0.134
     345      3.423      2.228     3904     41.961      0.087
     346      3.423      2.323    12261     44.847      0.074
     347      3.423      2.418     7011     46.007      0.073
     348      3.423      2.513     4975     45.676      0.074
     349      3.423      2.607     3480     44.809      0.075
     350      3.423      2.702     4050     44.372      0.074
     351      3.423      2.797     7891     44.123      0.073
     352      3.423      2.892     8413     43.301      0.073
     353      3.423      2.986     4865     42.524      0.074
     354      3.423      3.081     3554     41.954      0.074
     355      3.423      3.176     3844     41.308      0.075
     356      3.423      3.271     2563     40.350      0.077
     357      3.423      3.366     3274     39.412      0.075
     358      3.423      3.460     3647     39.026      0.075
     359      3.423      3.555     1954     38.605      0.081
     360      3.423      3.650      447     38.065      0.131
     361      3.423      3.745       20     37.458      0.526
     362      3.423      3.839        1        nan        nan
     363      3.555      1.565     2005      7.901      0.092
     364      3.555      1.659     4912      8.067      0.087
     365      3.555      1.754     4510     10.941      0.100
     366      3.555      1.849     2818     16.079      0.113
     367      3.555      1.944     1593     22.483      0.164
     368      3.555      2.039      863     29.428      0.162
     369      3.555      2.133     1678     35.660      0.141
     370      3.555      2.228     5670     40.571      0.082
     371      3.555      2.323     4407     43.388      0.084
     372      3.555      2.418     3331     44.311      0.079
     373      3.555      2.513    10904     43.732      0.072
     374      3.555      2.607     7049     43.056      0.074
     375      3.555      2.702     3066     43.251      0.077
     376      3.555      2.797     2415     43.795      0.079
     377      3.555      2.892     2314     43.003      0.080
     378      3.555      2.986     2685     41.767      0.077
     379      3.555      3.081     4723     41.021      0.075
     380      3.555      3.176     6866     40.224      0.074
     381      3.555      3.271     5602     39.255      0.075
     382      3.555      3.366     5952     38.617      0.075
     383      3.555      3.460     6647     38.171      0.075
     384      3.555      3.555     4236     37.611      0.077
     385      3.555      3.650     1560     36.638      0.089
     386      3.555      3.745      409     35.689      0.139
     387      3.555      3.839       32     33.800      0.546
     388      3.687      1.565      605      5.977      0.087
     389      3.687      1.659     1509      6.040      0.084
     390      3.687      1.754     1218      9.116      0.111
     391      3.687      1.849      728     14.603      0.138
     392      3.687      1.944      296     21.086      0.194
     393      3.687      2.039      181     28.538      0.335
     394      3.687      2.133      501     33.593      0.255
     395      3.687      2.228     1541     38.751      0.116
     396      3.687      2.323     1364     41.831      0.080
     397      3.687      2.418     1136     42.875      0.081
     398      3.687      2.513     3894     42.685      0.073
     399      3.687      2.607     3273     42.198      0.074
     400      3.687      2.702     1286     42.347      0.081
     401      3.687      2.797      630     42.690      0.088
     402      3.687      2.892      425     42.329      0.099
     403      3.687      2.986      556     41.248      0.092
     404      3.687      3.081     1845     40.316      0.079
     405      3.687      3.176     3362     39.415      0.076
     406      3.687      3.271     3720     38.329      0.076
     407      3.687      3.366     3126     37.853      0.077
     408      3.687      3.460     3278     37.433      0.078
     409      3.687      3.555     3220     36.529      0.081
     410      3.687      3.650     2039     35.361      0.087
     411      3.687      3.745      727     34.013      0.132
     412      3.687      3.839       67     32.699      0.272
     413      3.818      1.565     2914      4.091      0.071
     414      3.818      1.659     5672      4.336      0.071
     415      3.818      1.754     3736      7.654      0.080
     416      3.818      1.849     2133     13.146      0.092
     417      3.818      1.944     1150     19.629      0.114
     418      3.818      2.039      767     26.260      0.134
     419      3.818      2.133     1678     32.068      0.108
     420      3.818      2.228     5609     37.141      0.078
     421      3.818      2.323     6526     40.661      0.071
     422      3.818      2.418     4398     41.936      0.070
     423      3.818      2.513     3148     42.466      0.071
     424      3.818      2.607     3971     42.595      0.071
     425      3.818      2.702     4995     42.234      0.072
     426      3.818      2.797     6235     42.174      0.072
     427      3.818      2.892     4561     41.950      0.076
     428      3.818      2.986     2929     41.044      0.077
     429      3.818      3.081     3749     40.349      0.075
     430      3.818      3.176     4596     39.721      0.076
     431      3.818      3.271     3981     38.625      0.078
     432      3.818      3.366     3969     37.536      0.074
     433      3.818      3.460     5094     37.102      0.075
     434      3.818      3.555     3290     36.539      0.080
     435      3.818      3.650     1436     35.511      0.098
     436      3.818      3.745      822     34.425      0.145
     437      3.818      3.839       91     33.283      0.262
     438      3.950      1.565     2910      2.417      0.074
     439      3.950      1.659     5919      2.803      0.073
     440      3.950      1.754     3687      6.275      0.087
     441      3.950      1.849     3132     11.729      0.101
     442      3.950      1.944     2017     18.155      0.108
     443      3.950      2.039     1272     24.997      0.124
     444      3.950      2.133     1956     30.798      0.121
     445      3.950      2.228     5763     36.200      0.082
     446      3.950      2.323     7276     39.593      0.073
     447      3.950      2.418     6412     40.972      0.070
     448      3.950      2.513     4480     41.847      0.072
     449      3.950      2.607     8795     42.349      0.070
     450      3.950      2.702    10245     42.534      0.069
     451      3.950      2.797     7898     42.967      0.070
     452      3.950      2.892     6257     42.913      0.071
     453      3.950      2.986     3861     42.174      0.072
     454      3.950      3.081     4197     41.598      0.073
     455      3.950      3.176     6097     40.923      0.073
     456      3.950      3.271     6380     39.682      0.073
     457      3.950      3.366     5514     38.616      0.073
     458      3.950      3.460     6618     38.061      0.073
     459      3.950      3.555     5943     37.221      0.075
     460      3.950      3.650     2609     36.170      0.086
     461      3.950      3.745      800     35.162      0.206
     462      3.950      3.839       63     34.339      0.381
     463      4.082      1.565     1104      1.521      0.072
     464      4.082      1.659     1986      1.898      0.072
     465      4.082      1.754     1194      5.193      0.103
     466      4.082      1.849      828     10.792      0.137
     467      4.082      1.944      411     17.250      0.170
     468      4.082      2.039      433     24.038      0.164
     469      4.082      2.133      530     29.970      0.158
     470      4.082      2.228     1751     35.362      0.119
     471      4.082      2.323     2190     38.753      0.083
     472      4.082      2.418     1924     40.118      0.075
     473      4.082      2.513     1381     40.978      0.085
     474      4.082      2.607     3317     41.410      0.075
     475      4.082      2.702     3117     41.593      0.075
     476      4.082      2.797     2042     42.289      0.080
     477      4.082      2.892     1748     42.392      0.085
     478      4.082      2.986      929     41.739      0.097
     479      4.082      3.081     1069     41.143      0.091
     480      4.082      3.176     2003     40.230      0.086
     481      4.082      3.271     2637     38.863      0.083
     482      4.082      3.366     2594     37.715      0.083
     483      4.082      3.460     2571     36.972      0.084
     484      4.082      3.555     3923     35.981      0.083
     485      4.082      3.650     2549     34.685      0.109
     486      4.082      3.745      364     33.211      0.230
     487      4.082      3.839       42     32.692      0.399
     488      4.213      1.565     2075      1.166      0.062
     489      4.213      1.659     4359      1.349      0.061
     490      4.213      1.754     2967      4.442      0.069
     491      4.213      1.849     1494     10.185      0.090
     492      4.213      1.944      924     16.859      0.126
     493      4.213      2.039      727     23.900      0.134
     494      4.213      2.133      862     29.633      0.115
     495      4.213      2.228     2537     34.681      0.086
     496      4.213      2.323     4254     38.208      0.070
     497      4.213      2.418     4452     39.315      0.067
     498      4.213      2.513     3100     39.879      0.069
     499      4.213      2.607     4378     40.647      0.069
     500      4.213      2.702     3263     41.046      0.070
     501      4.213      2.797     2806     41.580      0.072
     502      4.213      2.892     2429     41.711      0.074
     503      4.213      2.986     1478     40.845      0.077
     504      4.213      3.081     1585     39.996      0.075
     505      4.213      3.176     1705     39.472      0.077
     506      4.213      3.271     1517     38.336      0.081
     507      4.213      3.366     1996     36.372      0.077
     508      4.213      3.460     2661     35.206      0.075
     509      4.213      3.555     2459     34.296      0.078
     510      4.213      3.650     1237     33.235      0.087
     511      4.213      3.745      488     31.958      0.137
     512      4.213      3.839       41     30.311      0.517
     513      4.345      1.565     3562      0.463      0.059
     514      4.345      1.659     6076      0.684      0.059
     515      4.345      1.754     3602      4.005      0.068
     516      4.345      1.849     2336      9.740      0.080
     517      4.345      1.944     1593     16.534      0.118
     518      4.345      2.039     1986     23.217      0.102
     519      4.345      2.133     2004     28.957      0.088
     520      4.345      2.228     5011     34.128      0.077
     521      4.345      2.323     8183     37.595      0.068
     522      4.345      2.418     8354     38.658      0.066
     523      4.345      2.513     6646     39.186      0.068
     524      4.345      2.607    10358     39.980      0.068
     525      4.345      2.702     7277     40.358      0.068
     526      4.345      2.797     6725     40.991      0.070
     527      4.345      2.892     5701     41.009      0.071
     528      4.345      2.986     4815     40.139      0.072
     529      4.345      3.081     4261     39.433      0.072
     530      4.345      3.176     4516     38.876      0.074
     531      4.345      3.271     4437     37.653      0.074
     532      4.345      3.366     5658     35.705      0.074
     533      4.345      3.460     7055     34.381      0.074
     534      4.345      3.555     6702     33.303      0.075
     535      4.345      3.650     3759     32.059      0.085
     536      4.345      3.745      613     30.862      0.125
     537      4.345      3.839       50     30.513      0.276
     538      4.477      1.565      859      0.000      0.000
     539      4.477      1.659     1871      0.314      0.078
     540      4.477      1.754     1027      3.617      0.112
     541      4.477      1.849      595      9.315      0.177
     542      4.477      1.944      490     16.215      0.177
     543      4.477      2.039      648     22.688      0.234
     544      4.477      2.133      742     28.279      0.175
     545      4.477      2.228     1730     33.403      0.146
     546      4.477      2.323     2743     37.003      0.082
     547      4.477      2.418     2971     37.981      0.076
     548      4.477      2.513     2117     38.655      0.082
     549      4.477      2.607     4129     39.346      0.075
     550      4.477      2.702     3543     39.700      0.074
     551      4.477      2.797     3142     40.350      0.076
     552      4.477      2.892     3009     40.268      0.080
     553      4.477      2.986     2909     39.262      0.079
     554      4.477      3.081     2222     38.694      0.080
     555      4.477      3.176     2161     38.301      0.085
     556      4.477      3.271     3821     36.670      0.082
     557      4.477      3.366     6012     34.471      0.078
     558      4.477      3.460     5357     33.124      0.078
     559      4.477      3.555     4653     32.072      0.081
     560      4.477      3.650     2626     30.672      0.094
     561      4.477      3.745      678     29.400      0.148
     562      4.477      3.839       63     27.660      0.371
     563      4.608      1.565       25      0.438      0.258
     564      4.608      1.659       81      0.251      0.367
     565      4.608      1.754       52      4.429      0.514
